Account,Total Pdex rewards,Initial Claimable rewards,Factor,DOT Contributed
5FHWaZ6w1YT4nRFT74U6QwPA66eVsRNCnojeD74J5q7BJDJC,169.635951304251,42.408987826062,0.000026295255,82.55529999
5Hb3E3kpzym2VdQM2DrqQ1a3L4HGPFVxGhffVEoZDiPVDfq6,24.657792,6.164448,0.000003822202,12
5EoFRxB3RPLYQB8Mxwe9hhaPrHhnsEodmCvth79j7jtHmgbP,20.54816,5.13704,0.000003185168,10
5FcNDLKFQjdnRz9SANmxBAMxmfDohVm6mpRziQagvTNBq2pZ,73.973376,18.493344,0.000011466607,36
5CmCVSCpLfsXQuFuHCTzC1VWnirVpnYpfPaGbunB2d4k3CcK,2089.747872,522.436968,0.000323931651,1017
5FEdk9BzGe4AM9jHcisAASCJ3Z6wToiw4LL2qnQBrfGqqVbK,16.438528,4.109632,0.000002548134,8
5G9Eo4CjSUBRxBrgxCdeYreBM1h7sxVF4ept9guQFN7sWKvt,177.741584,44.435396,0.000027551708,86.5
5Ct79FBovq64D3vcvLMFpDDoJgkvkgxnUAmrXDq7YP6KQQT2,97.60376,24.40094,0.000015129551,47.5
5EkLSvqZ8iG3UYMKiAHsLHhbQs6VQJLx4T2Q1sWHXFnXNC3V,20.54816,5.13704,0.000003185168,10
5DvEeU6EncHKfuEuB3jEDGKUmpFY4YiFb4vAa7Yo3pBpvNAK,10.27408,2.56852,0.000001592584,5
5Hiq9fnk9W4e4aFRPkK3oPPL86UJqCLmjtMPuUvrwAJdCuFP,117.3299936,29.3324984,0.000018187312,57.1
5DVDvDPmyvR27othahDygBL39nLifmhVYFu4657M813Nooos,10.27408,2.56852,0.000001592584,5
5EEj1JwDxjTaLTh5UAy6fN4ShJP9qVtJkL9E5qs54fk334ZW,10.27408,2.56852,0.000001592584,5
5Cm5LnNio8EhSzKdDwP9yKxvfj8KmQoCtajo7mq9Su2K5ct1,32.877056,8.219264,0.000005096269,16
5HjZfN1ZJnT6okuTQCeNiXwBEk6nuS1g1bJ8YaUYfDcbyqAm,10.27408,2.56852,0.000001592584,5
5FF2v53MRCAXMU7akLaZNgZREMjR4gjcYZfUfpU2S91nFGQ5,51.3704,12.8426,0.000007962921,25
5EKuYo3WY9fP7bez9YfptJDMg9b6TfXebS3UrSvuk5CHAyEa,41.09632,10.27408,0.000006370337,20
5Ec7J43twwRabXpDctP6V2EFSpUo4qr1PqVtgtzwaqoZBcDp,69.863744,17.465936,0.000010829573,34
5Fh2ZTd9Ug1EDgwupWMPmNdYQo1sadE21kaV3uGTtPJAuvuU,30.82224,7.70556,0.000004777752,15
5HgP9dEAojXMDYsXuY1qqWqwsWvAsoewNdT26YzYCLJ23aWW,205.4816,51.3704,0.000031851686,100
5GzbgEG5GNKPxgmVKgTcWw5JRgviqmZQVsvpG1uVYukMFct1,61.64448,15.41112,0.000009555505,30
5DvHeMRktk1hyUppPLsgMqKo5844x1ResTdms7R7hBkG3mZV,61.64448,15.41112,0.000009555505,30
5DLTWEaLpTWirwosiSG1V3on5mdZGkbY7Fj8DRXfWcC7Q9Zb,92.46672,23.11668,0.000014333258,45
5FeMEUZT33VrRJ4Z3VMAq4YHY3HLjwKy849VXhndCGpNwhgx,20.54816,5.13704,0.000003185168,10
5GHWSVKpBsSpyW1K4Nr5F2tC18X7kTpw1GYGBeYqmmaGdbJb,57.534848,14.383712,0.000008918472,28
5GYfx4zySab1Wqe6keJfCYtP4FTNvomjYeUkKcfDZsUh9fsN,10.27408,2.56852,0.000001592584,5
5HWYTrp6GQQnTVZdr5X61zyXmENxmsaW5WER4TCoi1Z1LqUz,20.54816,5.13704,0.000003185168,10
5DLpAmVcHyqjmyhLjkUm3niF7WVjmBoHXNautjTeoEgP4XKz,41.67166848,10.41791712,0.000006459522,20.28
